id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Quinn;Kovacek;Maximo70@hotmail.com;nasalise behind boss;2025-03-05T04:24:58;30802;858
2;Kailyn;Kuhn;Ryleigh59@gmail.com;indelible whup jeopardise;2025-03-04T11:10:46;17760;13157
3;Shania;Mitchell;Annie_Runolfsson@hotmail.com;glorious tremendously supposing;2025-03-04T20:23:45;32073;21131
4;Josh;Wisozk;Marcelina_Koss@yahoo.com;um oh above;2025-03-04T15:51:32;18586;27784
5;Berenice;Jacobi;Aryanna11@yahoo.com;readies;2025-03-05T02:50:13;2899;3856
6;Mafalda;Mertz;Frances_McDermott@yahoo.com;pish ordinary cafe;2025-03-05T00:38:54;31576;11248
7;Therese;Kutch;Everardo78@gmail.com;to for and;2025-03-04T21:49:29;24542;19219
8;Joan;Kertzmann;Matilde8@yahoo.com;hunger capsize jot;2025-03-04T17:30:07;19575;14725
9;Dereck;Douglas;Murray_Greenfelder@yahoo.com;furthermore;2025-03-05T10:53:25;5677;6036
10;Zola;Kuhic;Serena_Kessler11@hotmail.com;than;2025-03-04T16:35:48;24205;9215
